enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,is_major_city
32403,city_41,0.016125763268414313,Male,1,Full time course,3,STEM,-0.,1,Unknown,1,0,0
9858,city_103,0.7598603893704947,Female,1,no_enrollment,3,STEM,-0.,0,Pvt Ltd,1,0,1
31806,city_21,-1.607294979728601,Male,0,no_enrollment,2,Unknown,-1.,0,Pvt Ltd,never,0,0
27385,city_13,0.016125763268414313,Male,1,no_enrollment,4,STEM,0.1,0,Pvt Ltd,1,0,0
27724,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.5,8,Pvt Ltd,>4,0,1
217,city_23,0.5919203125087344,Male,0,Part time course,4,STEM,-0.,0,Unknown,2,0,0
21465,city_21,-1.607294979728601,Unknow,1,no_enrollment,3,STEM,-1.,4,Pvt Ltd,1,0,0
27302,city_160,0.7598603893704947,Female,1,no_enrollment,3,STEM,1.5,0,Unknown,>4,0,1
12994,city_173,0.4239802356469741,Male,1,no_enrollment,3,STEM,0.5,0,Unknown,4,-1,0
16287,city_21,-1.607294979728601,Male,1,Full time course,3,Unknown,-1.,3,Funded Startup,1,-1,0
10856,city_103,0.7598603893704947,Male,1,no_enrollment,4,Other,1.5,0,Unknown,>4,2,1
9272,city_90,-1.0155061374538275,Male,1,no_enrollment,3,STEM,1.4,0,Pvt Ltd,2,0,0
14249,city_46,-0.5036887603513199,Male,1,no_enrollment,3,STEM,-0.,4,Other,never,0,0
24372,city_98,0.9917776383700684,Unknow,1,no_enrollment,4,STEM,-0.,4,Pvt Ltd,1,1,1
14070,city_103,0.7598603893704947,Unknow,0,no_enrollment,3,STEM,-0.,0,Unknown,never,0,1
24914,city_21,-1.607294979728601,Unknow,1,Full time course,3,STEM,0.4,6,Pvt Ltd,1,1,0
7865,city_21,-1.607294979728601,Male,1,no_enrollment,4,STEM,-0.,4,Pvt Ltd,1,-1,0
7463,city_13,0.016125763268414313,Male,1,no_enrollment,4,Business Degree,-1.,3,Pvt Ltd,1,0,0
21514,city_21,-1.607294979728601,Unknow,1,no_enrollment,3,STEM,-0.,0,Pvt Ltd,4,0,0
29033,city_21,-1.607294979728601,Male,0,Full time course,0,Unknown,-1.,0,Unknown,never,0,0
15359,city_103,0.7598603893704947,Unknow,0,Full time course,3,STEM,-1.,0,Unknown,never,0,1
16001,city_103,0.7598603893704947,Unknow,1,no_enrollment,3,STEM,-0.,8,Unknown,1,0,1
25202,city_21,-1.607294979728601,Male,1,no_enrollment,3,STEM,-0.,6,Pvt Ltd,3,0,0
5058,city_103,0.7598603893704947,Male,0,Full time course,3,STEM,-1.,0,Unknown,1,0,1
23570,city_118,-0.8235746210403871,Male,1,no_enrollment,3,STEM,1.2,4,Pvt Ltd,>4,0,0
19139,city_103,0.7598603893704947,Female,1,Part time course,3,STEM,0.7,0,Public Sector,>4,0,1
9548,city_114,0.8078432684738539,Male,1,no_enrollment,4,STEM,1.5,3,Pvt Ltd,>4,0,1
8799,city_103,0.7598603893704947,Male,0,Full time course,3,STEM,-0.,0,Public Sector,1,0,1
11113,city_134,-1.0155061374538275,Unknow,1,no_enrollment,4,STEM,0.8,0,Pvt Ltd,1,0,0
19437,city_21,-1.607294979728601,Unknow,1,no_enrollment,3,STEM,-1.,0,Pvt Ltd,,0,0
394,city_73,-0.5676659324891333,Unknow,1,Full time course,3,STEM,-0.,3,Pvt Ltd,1,0,0
7683,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,-0.,0,Unknown,1,0,1
22849,city_116,-0.6556345441786269,Unknow,1,no_enrollment,0,Unknown,-0.,3,Pvt Ltd,never,0,0
17189,city_21,-1.607294979728601,Male,1,no_enrollment,3,STEM,-0.,8,Pvt Ltd,4,0,0
28610,city_16,0.6798889241982279,Male,1,no_enrollment,4,STEM,1.5,3,Pvt Ltd,>4,0,1
25608,city_165,0.6239088985776411,Unknow,1,no_enrollment,4,STEM,1.0,3,Pvt Ltd,>4,0,1
22139,city_103,0.7598603893704947,Male,1,Part time course,3,STEM,1.5,4,Pvt Ltd,>4,0,1
19644,city_61,0.703880363749907,Male,1,no_enrollment,3,STEM,1.5,8,Pvt Ltd,>4,1,1
18517,city_21,-1.607294979728601,Unknow,0,Full time course,4,STEM,-1.,0,Pvt Ltd,1,0,0
12835,city_136,0.575926019474281,Male,1,no_enrollment,4,STEM,1.5,1,Early Stage Startup,1,0,0
20178,city_45,0.5199459938536943,Male,1,no_enrollment,4,STEM,0.4,0,Public Sector,1,0,0
25855,city_103,0.7598603893704947,Female,1,no_enrollment,3,Arts,-0.,3,Pvt Ltd,1,0,1
32126,city_160,0.7598603893704947,Male,1,no_enrollment,3,STEM,0.8,4,Pvt Ltd,4,1,1
22753,city_104,0.7918489754394014,Male,1,no_enrollment,3,STEM,1.5,3,Pvt Ltd,2,-1,1
18133,city_103,0.7598603893704947,Male,0,no_enrollment,3,STEM,-1.,0,Unknown,1,0,1
29242,city_21,-1.607294979728601,Male,1,no_enrollment,4,STEM,-0.,4,Pvt Ltd,1,0,0
6312,city_160,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.5,0,Unknown,1,3,1
113,city_16,0.6798889241982279,Male,1,no_enrollment,4,STEM,-0.,6,Pvt Ltd,1,0,1
14685,city_114,0.8078432684738539,Male,0,Full time course,4,STEM,-1.,0,Pvt Ltd,1,0,1
20768,city_90,-1.0155061374538275,Male,0,Full time course,2,Unknown,-1.,0,Unknown,never,0,0
25906,city_28,0.9118061731978017,Male,1,no_enrollment,3,STEM,1.2,3,Pvt Ltd,1,0,1
20142,city_104,0.7918489754394014,Male,1,no_enrollment,3,STEM,-0.,3,Pvt Ltd,1,1,1
25891,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.5,8,Pvt Ltd,>4,0,1
4742,city_149,-1.0874804561088667,Unknow,0,no_enrollment,0,Unknown,-1.,0,Unknown,,0,0
2222,city_105,-0.24778007180006614,Male,1,no_enrollment,3,Business Degree,0.5,4,Pvt Ltd,1,0,0
16917,city_103,0.7598603893704947,Unknow,0,Full time course,2,Unknown,-1.,0,Unknown,1,0,1
10493,city_21,-1.607294979728601,Unknow,1,no_enrollment,4,STEM,-0.,6,Pvt Ltd,2,0,0
10418,city_76,-1.0155061374538275,Male,1,no_enrollment,0,Unknown,-0.,4,Pvt Ltd,>4,0,0
9766,city_83,0.7838518289221739,Male,1,no_enrollment,3,STEM,-0.,6,Pvt Ltd,2,0,1
1361,city_103,0.7598603893704947,Other,1,Full time course,3,STEM,-0.,0,Unknown,1,1,1
19625,city_97,0.7998461219566281,Male,1,no_enrollment,2,Unknown,-0.,3,Pvt Ltd,1,0,1
20943,city_160,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.5,8,Pvt Ltd,>4,0,1
9561,city_28,0.9118061731978017,Unknow,1,no_enrollment,4,STEM,1.2,0,Unknown,2,0,1
4271,city_13,0.016125763268414313,Unknow,1,Unknown,3,STEM,-0.,1,Pvt Ltd,2,0,0
2094,city_64,-1.2714148260050813,Female,1,no_enrollment,3,STEM,1.1,4,Pvt Ltd,>4,0,0
16931,city_31,-0.1438171670761193,Male,1,no_enrollment,3,STEM,0.7,0,Unknown,>4,1,0
27298,city_21,-1.607294979728601,Male,0,no_enrollment,3,Arts,-0.,1,Early Stage Startup,never,0,0
26493,city_136,0.575926019474281,Male,0,Part time course,3,STEM,-0.,0,Public Sector,1,0,0
30745,city_19,-1.1434604817294534,Male,1,no_enrollment,3,STEM,-0.,0,Unknown,3,0,0
21052,city_90,-1.0155061374538275,Male,1,no_enrollment,3,STEM,-1.,0,Unknown,never,0,0
20723,city_11,-2.199083822003374,Male,1,Full time course,3,STEM,-1.,3,Pvt Ltd,1,2,0
13539,city_143,-0.6796259837303069,Male,1,no_enrollment,3,STEM,0.4,1,Pvt Ltd,2,1,0
3214,city_16,0.6798889241982279,Male,1,no_enrollment,4,STEM,1.5,6,Pvt Ltd,4,3,1
16230,city_103,0.7598603893704947,Unknow,0,Full time course,2,Unknown,-1.,0,Unknown,never,0,1
25300,city_160,0.7598603893704947,Male,1,no_enrollment,3,STEM,-0.,1,Early Stage Startup,1,0,1
24018,city_11,-2.199083822003374,Male,1,Part time course,3,STEM,-1.,0,Pvt Ltd,1,0,0
21833,city_16,0.6798889241982279,Male,1,no_enrollment,3,STEM,1.4,3,Pvt Ltd,>4,0,1
30632,city_114,0.8078432684738539,Male,1,no_enrollment,4,STEM,0.2,3,Pvt Ltd,2,0,1
4334,city_103,0.7598603893704947,Male,1,Unknown,2,Unknown,-0.,0,Unknown,2,0,1
22271,city_100,0.49595455430201424,Male,0,Full time course,3,Other,0.7,0,Unknown,3,0,0
28776,city_114,0.8078432684738539,Male,1,no_enrollment,4,STEM,1.5,8,Pvt Ltd,>4,0,1
27769,city_21,-1.607294979728601,Male,0,Full time course,4,STEM,-1.,0,Unknown,1,0,0
25909,city_67,0.24004586575076048,Unknow,1,no_enrollment,4,STEM,0.7,4,Pvt Ltd,>4,0,0
31266,city_114,0.8078432684738539,Male,1,no_enrollment,3,STEM,-0.,5,Pvt Ltd,>4,0,1
7973,city_114,0.8078432684738539,Male,1,no_enrollment,4,STEM,0.5,8,Pvt Ltd,1,0,1
30867,city_21,-1.607294979728601,Unknow,1,no_enrollment,3,STEM,-1.,4,Pvt Ltd,1,0,0
22501,city_75,0.9118061731978017,Male,1,no_enrollment,0,Unknown,1.2,0,Pvt Ltd,>4,0,1
2539,city_13,0.016125763268414313,Male,1,Full time course,4,STEM,-0.,8,Pvt Ltd,4,0,0
26681,city_103,0.7598603893704947,Male,1,no_enrollment,3,Business Degree,1.5,8,Pvt Ltd,3,0,1
16184,city_127,-0.6396402511441734,Unknow,0,Full time course,2,Unknown,-1.,0,Unknown,never,0,0
3852,city_103,0.7598603893704947,Male,1,no_enrollment,4,STEM,1.5,6,Pvt Ltd,>4,0,1
1680,city_19,-1.1434604817294534,Male,1,no_enrollment,4,STEM,1.2,6,Unknown,4,0,0
3562,city_114,0.8078432684738539,Male,1,no_enrollment,4,STEM,1.5,6,Pvt Ltd,2,0,1
8488,city_101,-2.1351066498655618,Male,1,Part time course,4,STEM,-1.,0,Unknown,2,3,0
8373,city_103,0.7598603893704947,Male,1,no_enrollment,3,STEM,1.0,6,Pvt Ltd,3,1,1
2934,city_75,0.9118061731978017,Male,1,no_enrollment,5,STEM,1.5,6,Pvt Ltd,3,3,1
12919,city_103,0.7598603893704947,Female,1,no_enrollment,3,Humanities,-0.,0,Unknown,1,0,1
4386,city_21,-1.607294979728601,Male,0,Full time course,2,Unknown,-1.,1,Early Stage Startup,2,0,0
22462,city_21,-1.607294979728601,Unknow,1,no_enrollment,3,STEM,-0.,8,NGO,1,0,0
13988,city_103,0.7598603893704947,Unknow,1,Part time course,4,STEM,0.8,8,Pvt Ltd,>4,0,1
21230,city_103,0.7598603893704947,Unknow,0,no_enrollment,2,Unknown,-1.,0,Unknown,>4,0,1
26180,city_139,-2.702904052588655,Male,0,Full time course,3,STEM,-1.,0,Pvt Ltd,never,0,0
16658,city_16,0.6798889241982279,Male,1,no_enrollment,3,Business Degree,0.8,3,Pvt Ltd,1,0,1
10324,city_16,0.6798889241982279,Male,1,Part time course,3,STEM,1.5,8,Pvt Ltd,2,0,1
20453,city_27,0.1840658401301737,Male,1,no_enrollment,3,STEM,-1.,3,Pvt Ltd,never,-1,0
13485,city_136,0.575926019474281,Male,1,no_enrollment,4,STEM,0.1,4,Pvt Ltd,2,0,0
33080,city_16,0.6798889241982279,Male,1,no_enrollment,3,STEM,1.5,3,Pvt Ltd,never,0,1
25492,city_103,0.7598603893704947,Unknow,1,no_enrollment,3,STEM,1.5,0,Unknown,1,0,1
1319,city_71,0.4719631147503342,Male,0,Part time course,3,STEM,-1.,0,Unknown,>4,0,0
